,0,1,2
0,0,sh,"(-5,19.364916731037084)"
1,1,sh,"(1.842812133027158,19.9149201214157)"
2,2,sh,"(9.722740582614184,17.477651889289568)"
3,3,sh,"(3.480364175079635,19.69484869728179)"
4,4,sh,"(11.703378145078187,16.218228633032226)"
5,5,sh,"(5.408707268281657,19.254762675401565)"
6,6,sh,"(13.240007832009608,14.990069799981727)"
7,7,sh,"(7.209703550083353,18.65529883759345)"
8,8,sh,"(14.747776852533264,13.50937000410767)"
9,9,sh,"(9.006889517388526,17.857097782718128)"
10,10,sh,"(16.04876568694479,11.934702339209952)"
11,11,sh,"(10.76232780605986,16.857410839002256)"
12,12,sh,"(17.11786287934818,10.343054212554126)"
13,13,sh,"(12.45073289883608,15.6518130030307)"
14,14,sh,"(18.04886783325187,8.61616909872398)"
15,15,sh,"(13.96655142232854,14.315566400511461)"
16,16,sh,"(18.822876761665995,6.760126508811376)"
17,17,sh,"(15.277707290545054,12.907039162582041)"
18,18,sh,"(19.426041778337034,4.756984425694929)"
