,0,1,2
0,0,d,"(-8,18.33030277982336)"
1,1,d,"(17.981155210027126,8.756600785288454)"
2,2,d,"(-3.7469447146835226,19.645875020092774)"
3,3,d,"(18.693281244052386,7.110642469619696)"
4,4,d,"(-0.41868790228587954,19.9956170307515)"
5,5,d,"(18.294130761608272,8.08237463108324)"
6,6,d,"(3.6314052084135096,19.66755948795649)"
7,7,d,"(18.925562524290207,6.467076862012858)"
8,8,d,"(4.939482374726729,19.380441529278016)"
9,9,d,"(19.44492663235611,4.679190983737253)"
10,10,d,"(7.828374567493393,18.4042536287409)"
11,11,d,"(19.82985585163042,2.6032320110890663)"
12,12,d,"(7.3904220689623825,18.584446767192016)"
13,13,d,"(19.951131388755034,1.3972674434887637)"
14,14,d,"(11.115558125315479,16.626616239112906)"
15,15,d,"(19.99913438576519,0.1860747701985873)"
