,0,1,2
0,0,d,"(-5,19.364916731037084)"
1,1,d,"(9.74400447206406,17.465805931831362)"
2,2,d,"(-1.6767073841840707,19.929592377864193)"
3,3,d,"(10.29582342437786,17.146312140341788)"
4,4,d,"(2.2618366268751537,19.871690795534384)"
5,5,d,"(10.220526851064369,17.191301023676836)"
6,6,d,"(5.763631862791577,19.151515547084355)"
7,7,d,"(11.569808173015943,16.313783707025586)"
8,8,d,"(7.361380635766373,18.59596932497373)"
9,9,d,"(13.408271108549206,14.839752891461657)"
10,10,d,"(8.92246933670316,17.89942850863099)"
11,11,d,"(14.221324105448632,14.062501224454548)"
12,12,d,"(11.274068761533318,16.519545198346673)"
13,13,d,"(15.883672839156498,12.15355656335388)"
14,14,d,"(11.584130953318349,16.303616471702583)"
15,15,d,"(17.812893703421587,9.0939990054213)"
16,16,d,"(11.895450021734337,16.077881352355494)"
17,17,d,"(19.15841508395273,5.740656013991133)"
