,0,1,2
0,0,sh,"(-5,19.364916731037084)"
1,1,sh,"(9.74400447206406,17.465805931831362)"
2,2,sh,"(-1.6767073841840707,19.929592377864193)"
3,3,sh,"(10.29582342437786,17.146312140341788)"
4,4,sh,"(2.2618366268751537,19.871690795534384)"
5,5,sh,"(10.220526851064369,17.191301023676836)"
6,6,sh,"(5.763631862791577,19.151515547084355)"
7,7,sh,"(11.569808173015943,16.313783707025586)"
8,8,sh,"(7.361380635766373,18.59596932497373)"
9,9,sh,"(13.408271108549206,14.839752891461657)"
10,10,sh,"(8.92246933670316,17.89942850863099)"
11,11,sh,"(14.221324105448632,14.062501224454548)"
12,12,sh,"(11.274068761533318,16.519545198346673)"
13,13,sh,"(15.883672839156498,12.15355656335388)"
14,14,sh,"(11.584130953318349,16.303616471702583)"
15,15,sh,"(17.812893703421587,9.0939990054213)"
16,16,sh,"(11.895450021734337,16.077881352355494)"
17,17,sh,"(19.15841508395273,5.740656013991133)"
