,0,1,2
0,0,sh,"(-10,17.320508075688775)"
1,1,sh,"(14.535202747975719,13.737826650356276)"
2,2,sh,"(-3.580026890566269,19.676976583378412)"
3,3,sh,"(14.196179376152124,14.087884550922224)"
4,4,sh,"(-1.0094966813829627,19.974506663501774)"
5,5,sh,"(16.43495304622986,11.397031120788423)"
6,6,sh,"(-0.04158154429105821,19.99995677433265)"
7,7,sh,"(17.17422000378832,10.2492032500813)"
8,8,sh,"(1.4022577051601843,19.950781271126175)"
9,9,sh,"(17.926601081890524,8.867749074639036)"
10,10,sh,"(4.573378069582559,19.470085080262525)"
11,11,sh,"(18.248179475557873,8.185593798120477)"
12,12,sh,"(7.619695944111359,18.491626043138904)"
13,13,sh,"(18.16000282548139,8.379397196607163)"
14,14,sh,"(11.268306777483959,16.52347609822186)"
15,15,sh,"(18.508761210314457,7.577978520658323)"
